region,clan,transect,distance,burn_state,date,time_start,time_end,baboon,buffalo,bushbuck,eland,elephant,giraffe,grants,hartebeest,hippo,impala,oribi,ostrich,reedbuck,thomsons,topi,warthog,waterbuck,wildebeest,zebra,other,banded_mongoose,bb_jackal,be_fox,cheetah,lion,spotted_hyena,ss_jackal,cow,shoat,carcass,comments
Narok,talek.w,W3,4,Never,1/2/2012,4/28/2020 7:21,4/28/2020 7:36,0,0,0,0,0,0,1,2,0,44,0,0,0,173,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,1/2/2012,4/28/2020 7:53,4/28/2020 8:08,0,0,0,0,8,0,0,0,0,2,0,0,0,71,22,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,1/3/2012,4/28/2020 7:21,4/28/2020 7:38,0,0,0,0,0,0,16,14,0,0,0,0,0,305,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,1/4/2012,4/28/2020 7:01,4/28/2020 7:11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,1/15/2012,4/28/2020 7:19,4/28/2020 7:31,0,1,0,0,0,0,0,0,0,12,0,0,0,115,122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,1/15/2012,4/28/2020 7:08,4/28/2020 7:16,0,0,0,0,0,0,0,0,0,18,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,,Burn2,6.2,NotBurned,1/20/2012,4/28/2020 8:01,4/28/2020 8:40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,1/22/2012,4/28/2020 7:53,4/28/2020 8:06,0,0,0,0,0,0,7,0,0,11,0,0,0,181,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,1/23/2012,4/28/2020 6:50,4/28/2020 6:55,0,0,0,0,0,0,0,0,0,3,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,1/23/2012,4/28/2020 7:26,4/28/2020 7:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,1/23/2012,4/28/2020 7:06,4/28/2020 7:18,0,0,0,0,0,0,0,0,0,119,0,0,0,87,150,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,1/23/2012,4/28/2020 8:39,4/28/2020 8:53,0,2,0,0,0,0,3,0,0,7,0,0,0,15,15,10,0,0,1,15,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,1/24/2012,4/28/2020 7:11,4/28/2020 7:33,0,0,0,0,0,0,2,0,0,2,0,0,0,381,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,1/25/2012,4/28/2020 7:40,4/28/2020 7:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,1/25/2012,4/28/2020 7:22,4/28/2020 7:28,0,0,0,0,0,0,0,0,0,2,0,0,0,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,1/27/2012,4/28/2020 8:05,4/28/2020 8:30,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,2/1/2012,4/28/2020 7:36,4/28/2020 7:51,0,0,0,0,0,0,0,0,0,5,0,0,0,106,33,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,2/3/2012,4/28/2020 7:58,4/28/2020 8:16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,2/3/2012,4/28/2020 7:17,4/28/2020 7:59,0,0,0,0,0,0,1,3,0,2,0,0,0,321,97,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,2/3/2012,4/28/2020 7:44,4/28/2020 7:50,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,2/3/2012,4/28/2020 6:58,4/28/2020 7:09,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,2/4/2012,4/28/2020 8:48,4/28/2020 8:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,2/4/2012,4/28/2020 7:23,4/28/2020 7:55,0,1,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,2/4/2012,4/28/2020 8:09,4/28/2020 8:18,0,1,0,0,0,0,3,0,0,95,0,3,0,153,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,2/5/2012,4/28/2020 8:37,4/28/2020 8:57,0,18,0,0,0,0,0,0,0,16,0,0,0,111,70,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,2/16/2012,4/28/2020 8:45,4/28/2020 8:55,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,2/17/2012,4/28/2020 8:36,4/28/2020 8:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,2/17/2012,4/28/2020 8:27,4/28/2020 8:32,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,2/21/2012,4/28/2020 8:25,4/28/2020 8:40,0,0,0,0,0,2,0,0,0,3,0,0,0,18,34,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,2/22/2012,4/28/2020 7:50,4/28/2020 8:08,0,0,0,0,0,0,0,0,0,0,0,0,0,66,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,2/22/2012,4/28/2020 8:18,4/28/2020 8:32,0,0,0,0,0,0,0,7,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,2/22/2012,4/28/2020 8:55,4/28/2020 9:09,0,0,0,0,0,0,0,0,0,0,0,0,0,64,15,12,0,0,19,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,2/23/2012,4/28/2020 8:28,4/28/2020 8:42,0,0,0,0,0,0,0,0,0,0,0,4,0,115,19,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,2/23/2012,4/28/2020 9:00,4/28/2020 9:12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,3/6/2012,4/28/2020 7:47,4/28/2020 8:12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,3/8/2012,4/28/2020 7:23,4/28/2020 7:33,0,0,0,0,0,0,0,0,0,32,0,0,0,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,3/8/2012,4/28/2020 8:17,4/28/2020 8:30,0,0,0,0,0,0,0,0,0,29,0,0,0,38,5,5,0,0,12,5,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,3/10/2012,4/28/2020 7:44,4/28/2020 7:49,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,3/10/2012,4/28/2020 7:40,4/28/2020 7:52,0,0,0,0,0,0,9,0,0,1,0,0,0,226,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,3/10/2012,4/28/2020 7:54,4/28/2020 8:09,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,3/10/2012,4/28/2020 7:23,4/28/2020 7:32,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,3/11/2012,4/28/2020 7:12,4/28/2020 7:20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,3/11/2012,4/28/2020 7:48,4/28/2020 8:10,0,1,0,1,0,0,0,0,0,28,0,0,0,115,105,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,3/16/2012,4/28/2020 7:04,4/28/2020 7:18,0,0,0,0,0,0,0,0,0,15,0,0,0,151,57,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,3/16/2012,4/28/2020 8:45,4/28/2020 9:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,3/17/2012,4/28/2020 7:32,4/28/2020 7:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,3/17/2012,4/28/2020 7:52,4/28/2020 8:06,0,0,0,0,0,0,2,0,0,2,0,0,0,187,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,3/18/2012,4/28/2020 8:15,4/28/2020 8:27,0,0,0,0,0,0,0,0,0,47,0,0,0,19,8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,3/20/2012,4/28/2020 7:37,4/28/2020 7:46,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,3/20/2012,4/28/2020 7:51,4/28/2020 8:09,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,3/23/2012,4/28/2020 8:37,4/28/2020 8:43,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,3/23/2012,4/28/2020 8:05,4/28/2020 8:29,0,0,0,0,0,0,0,0,0,16,0,0,0,128,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,4/2/2012,4/28/2020 7:49,4/28/2020 7:56,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,4/2/2012,4/28/2020 8:03,4/28/2020 8:19,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,14,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,4/4/2012,4/28/2020 8:30,4/28/2020 8:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,4/10/2012,4/28/2020 7:08,4/28/2020 7:26,0,0,0,0,0,1,0,0,0,8,0,0,0,73,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,4/12/2012,4/28/2020 8:18,4/28/2020 8:33,0,7,0,0,0,0,0,0,0,14,0,1,0,13,11,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,4/12/2012,4/28/2020 7:57,4/28/2020 8:13,0,0,0,0,0,0,0,0,0,1,0,0,0,225,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,4/12/2012,4/28/2020 7:28,4/28/2020 7:44,0,127,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,4/17/2012,4/28/2020 7:21,4/28/2020 7:34,0,0,0,0,0,0,0,0,0,9,0,0,0,52,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,4/27/2012,4/28/2020 8:45,4/28/2020 8:50,0,4,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,5/15/2012,4/28/2020 7:01,4/28/2020 7:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,5/25/2012,4/28/2020 7:00,4/28/2020 7:30,0,1,0,0,0,0,0,0,0,19,0,0,0,99,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,5/27/2012,4/28/2020 7:31,4/28/2020 7:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,5/30/2012,4/28/2020 7:20,4/28/2020 7:42,0,0,0,0,16,0,8,3,0,46,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,5/31/2012,4/28/2020 8:04,4/28/2020 8:12,0,48,0,0,0,0,0,0,0,8,0,0,0,11,43,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,6/5/2012,4/28/2020 8:21,4/28/2020 8:36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,6/11/2012,4/28/2020 7:46,4/28/2020 8:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,6/11/2012,4/28/2020 7:15,4/28/2020 7:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,6/12/2012,4/28/2020 7:23,4/28/2020 8:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,6/17/2012,4/28/2020 7:34,4/28/2020 7:51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,6/17/2012,4/28/2020 7:00,4/28/2020 7:14,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,6/21/2012,4/28/2020 7:31,4/28/2020 7:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,6/22/2012,4/28/2020 8:50,4/28/2020 8:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,6/22/2012,4/28/2020 8:16,4/28/2020 8:32,0,0,0,0,0,0,0,0,0,32,0,0,0,111,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,6/26/2012,4/28/2020 7:09,4/28/2020 7:29,0,0,0,0,0,0,3,0,0,4,0,0,0,37,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,7/2/2012,4/28/2020 7:25,4/28/2020 7:51,0,0,0,0,0,0,3,0,0,50,0,0,0,65,110,0,0,1,0,0,0,0,0,0,0,0,0,234,0,0,
Conservancy,serena.s,S2,1.47,Never,7/3/2012,4/28/2020 7:41,4/28/2020 7:49,0,0,0,0,0,0,0,0,0,3,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,7/5/2012,4/28/2020 7:56,4/28/2020 8:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,7/5/2012,4/28/2020 8:20,4/28/2020 8:46,0,0,0,0,0,0,3,0,0,59,0,0,0,306,49,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,7/9/2012,4/28/2020 8:32,4/28/2020 8:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,7/9/2012,4/28/2020 8:04,4/28/2020 8:15,0,0,0,0,0,0,0,0,0,47,0,0,0,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,7/10/2012,4/28/2020 8:34,4/28/2020 8:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,7/16/2012,4/28/2020 7:35,4/28/2020 7:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,7/16/2012,4/28/2020 8:01,4/28/2020 8:21,0,0,0,0,0,0,1,0,0,0,0,0,0,310,165,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,7/16/2012,4/28/2020 8:01,4/28/2020 8:20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,7/17/2012,4/28/2020 8:19,4/28/2020 8:26,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,7/18/2012,4/28/2020 7:57,4/28/2020 8:19,0,0,0,0,0,0,6,0,0,70,0,0,0,136,192,0,0,84,8,0,0,0,0,0,0,0,0,180,0,0,
Narok,mara.river,R2,4,Never,7/27/2012,4/28/2020 8:25,4/28/2020 8:38,0,0,0,0,0,0,0,0,0,1,0,0,0,40,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,7/27/2012,4/28/2020 8:46,4/28/2020 8:53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,7/28/2012,4/28/2020 8:25,4/28/2020 9:03,0,1,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burn was occuring within about 2km of transect
Conservancy,serena.n,RSP,3.22,Never,7/29/2012,4/28/2020 8:51,4/28/2020 9:14,0,1,0,0,0,0,0,0,0,9,0,2,0,32,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,8/3/2012,4/28/2020 7:19,4/28/2020 7:27,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,8/4/2012,4/28/2020 8:00,4/28/2020 8:18,0,0,0,0,0,0,0,0,0,1,0,1,0,109,13,5,0,429,8,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,8/5/2012,4/28/2020 7:03,4/28/2020 7:22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,8/5/2012,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,8/5/2012,4/28/2020 7:44,4/28/2020 8:02,0,6,0,0,0,0,0,0,0,6,0,0,0,30,9,2,0,27,38,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,8/7/2012,4/28/2020 8:09,4/28/2020 8:27,0,0,0,0,0,0,0,12,0,0,0,0,0,215,65,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,8/7/2012,4/28/2020 7:46,4/28/2020 8:00,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,8/15/2012,4/28/2020 8:50,4/28/2020 8:57,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,8/15/2012,4/28/2020 8:30,4/28/2020 8:41,0,0,0,0,0,0,0,0,0,2,0,0,0,41,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,8/19/2012,4/28/2020 9:05,4/28/2020 9:34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,8/19/2012,4/28/2020 7:53,4/28/2020 8:03,0,0,0,0,0,0,0,0,0,4,0,0,0,49,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R1,4,Never,8/19/2012,4/28/2020 8:13,4/28/2020 8:19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,8/20/2012,4/28/2020 7:39,4/28/2020 8:05,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,6,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,North,3,Never,8/25/2012,4/28/2020 7:58,4/28/2020 8:13,0,0,0,0,9,0,0,0,0,59,0,0,0,50,9,3,2,0,56,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WLOW,4,Never,8/25/2012,4/28/2020 8:04,4/28/2020 8:20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,WHIGH,4,Never,8/25/2012,4/28/2020 7:33,4/28/2020 7:55,0,0,0,0,0,0,8,0,0,9,0,0,0,75,1,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,9/3/2012,4/28/2020 8:36,4/28/2020 8:54,0,0,0,0,0,0,0,0,0,1,0,1,0,47,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,HZT,2,Never,9/11/2012,4/28/2020 7:17,4/28/2020 7:25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,9/11/2012,4/28/2020 8:13,4/28/2020 8:27,0,0,0,0,0,0,0,0,0,6,0,0,0,12,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,happy.zebra,SST,5.4,NotBurned,9/11/2012,4/28/2020 7:43,4/28/2020 8:04,0,0,0,0,0,0,0,0,0,0,0,0,0,72,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"""3 topi in burn, all Tommy's in burn""; 3 topi in burn, all Tommy's in burn"
Conservancy,serena.n,North,3,Never,9/13/2012,4/28/2020 6:53,4/28/2020 7:04,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,9/13/2012,4/28/2020 8:00,4/28/2020 8:13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,
Narok,mara.river,R2,4,Never,9/14/2012,4/28/2020 8:24,4/28/2020 8:34,0,2,0,0,0,0,0,0,0,8,0,0,0,50,26,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.n,RSP,3.22,Never,9/16/2012,4/28/2020 8:12,4/28/2020 8:33,0,0,0,0,0,0,0,0,0,5,0,0,0,5,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Narok,talek.w,W3,4,Never,9/17/2012,4/28/2020 8:44,4/28/2020 9:00,0,0,0,0,0,0,0,0,0,31,0,0,0,88,22,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S1,3.41,Never,9/20/2012,4/28/2020 7:59,4/28/2020 8:20,0,223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conservancy,serena.s,S2,1.47,Never,9/20/2012,4/28/2020 7:44,4/28/2020 7:53,0,0,0,0,0,0,0,12,0,0,0,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
